Epoch   E(m)   N(m)   U(m)
1 6668493608.0000 -5388490092.0000 153425264021401248.0000
2 -4530205.4688 3660573.6777 -104229119579869.1562
3 -4530214.4062 3660572.2930 -104229119579861.4062
4 -4530207.9844 3660574.9727 -104229119579859.0312
5 -4530201.8047 3660571.3457 -104229119579855.9062
6 -4530200.0781 3660564.7441 -104229119579852.3750
7 -4530208.1406 3660569.0918 -104229119579856.1094
8 -4530213.4375 3660567.1426 -104229119579860.1562
9 -4530207.6641 3660562.5703 -104229119579858.5000
10 -4530207.5078 3660562.0098 -104229119579861.8281
11 -4530203.7891 3660564.1641 -104229119579863.8906
12 -4530196.2031 3660560.3848 -104229119579863.8594
13 -4530198.5781 3660561.5273 -104229119579865.7344
14 -4530197.1562 3660558.9961 -104229119579864.2969
15 -4530198.5469 3660560.1191 -104229119579864.4375
16 -4530192.7656 3660559.2734 -104229119579860.3125
17 -4530195.6719 3660559.9395 -104229119579862.4531
18 -4530195.7188 3660564.6152 -104229119579863.7188
19 -4530198.6875 3660566.3887 -104229119579864.1875
20 -4530193.0469 3660565.0781 -104229119579868.0781
21 -4530190.9531 3660566.5000 -104229119579869.1562
22 -4530191.1016 3660566.2949 -104229119579865.0938
23 -4530185.5859 3660564.9004 -104229119579861.9062
24 -4530185.2109 3660565.0293 -104229119579860.3594
25 -4530184.2891 3660569.0137 -104229119579863.7031
26 -4530182.4609 3660566.6328 -104229119579860.7500
27 -4530185.5625 3660565.8809 -104229119579862.5625
28 -4530187.3594 3660565.3320 -104229119579863.9062
29 -4530187.3594 3660564.9414 -104229119579866.1562
30 -4530184.2266 3660560.7676 -104229119579864.2031
31 -4530189.1484 3660563.7754 -104229119579865.8438
32 -4530286.5391 3660580.1426 -104229119579884.5312
33 -4530275.6328 3660573.0117 -104229119579886.7188
34 -4530262.8750 3660563.5449 -104229119579886.0781
35 -4530260.0469 3660564.2090 -104229119579889.1406
36 -4530263.7188 3660569.0488 -104229119579889.0625
37 -4530262.3047 3660566.0566 -104229119579887.6406
38 -4530256.1875 3660560.9180 -104229119579887.5000
39 -4530249.9375 3660558.0742 -104229119579882.0938
40 -4530250.3125 3660551.9453 -104229119579881.5938
41 -4530241.9219 3660556.4492 -104229119579880.2188
42 -4530181.0625 3660547.8359 -104229119579868.9062
43 -4530173.5938 3660539.8496 -104229119579864.8125
44 -4530180.2734 3660571.7852 -104229119579866.2500
45 -4530182.4219 3660587.9648 -104229119579869.4375
46 -4530164.5781 3660558.2363 -104229119579860.7500
47 -4530155.9453 3660541.8105 -104229119579860.0781
48 -4530137.7500 3660526.4316 -104229119579861.4688
49 -4530132.7812 3660524.2266 -104229119579862.4219
50 -4530135.8203 3660523.1621 -104229119579860.3125
51 -4530144.2188 3660523.0527 -104229119579865.6094
52 -4530143.5938 3660522.2598 -104229119579866.1875
53 -4530140.6719 3660520.2266 -104229119579866.2344
54 -4530133.7500 3660513.3047 -104229119579864.3125
55 -4530132.1797 3660513.9453 -104229119579864.7031
56 -4530128.9688 3660512.9531 -104229119579865.6250
57 -4530126.2188 3660511.3027 -104229119579867.8438
58 -4530148.2812 3660523.7012 -104229119579888.1250
59 -4530157.0938 3660526.8105 -104229119579898.6562
60 -4530165.5625 3660513.8848 -104229119579867.4844
61 -4530163.2578 3660513.6641 -104229119579877.7656
62 -4530134.6406 3660506.2520 -104229119579879.0469
63 -4530167.2031 3660525.2422 -104229119579908.6719
64 -4530188.1719 3660508.0703 -104229119579896.3438
65 -4530172.1094 3660508.5449 -104229119579882.9062
66 -4530151.7109 3660512.8457 -104229119579898.5000
67 -4530180.6016 3660519.1504 -104229119579895.5312
68 -4530187.2734 3660528.7656 -104229119579938.2656
69 -4530162.6562 3660527.4258 -104229119579915.3750
70 -4530200.4062 3660534.7695 -104229119579952.8438
71 -4530183.5625 3660541.2637 -104229119579935.2656
72 -4530186.4375 3660530.9961 -104229119579937.5625
73 -4530200.7266 3660541.2363 -104229119579953.2500
74 -4530190.6641 3660537.2520 -104229119579946.0469
75 -4530203.6094 3660547.4902 -104229119579956.3750
76 -4530196.7500 3660543.6953 -104229119579949.1250
77 -4530206.4922 3660552.8125 -104229119579954.4375
78 -4530203.7500 3660552.4570 -104229119579959.4531
79 -4530201.6250 3660554.3672 -104229119579960.1875
80 -4530207.9688 3660559.8262 -104229119579964.5000
81 -4530207.6797 3660556.8945 -104229119579963.7500
82 -4530214.6562 3660568.4062 -104229119579967.2812
