# TOW(s)         Up(m)      
207976.000000         0.0000
 207977.0000       -17.0029
 207978.0000        -9.9324
 207979.0000        -8.2421
 207980.0000       -11.0352
 207981.0000       -23.0693
 207982.0000       -12.1078
 207983.0000       -11.0546
 207984.0000       -19.0468
 207985.0000       -21.1423
 207986.0000       -19.2453
 207987.0000       -25.0911
 207988.0000       -21.9153
 207989.0000       -23.6308
 207990.0000       -24.2267
 207991.0000       -32.5301
 207992.0000       -31.4208
 207993.0000       -31.0376
 207994.0000       -30.7288
 207995.0000       -29.4056
 207996.0000       -28.0570
 207997.0000       -33.0797
 207998.0000       -34.2263
 207999.0000       -39.6745
 208000.0000       -35.9683
 208001.0000       -39.6455
 208002.0000       -38.6502
 208003.0000       -33.6303
 208004.0000       -31.6328
 208005.0000       -38.7941
 208006.0000       -28.6776
 208007.0000        -9.7810
 208008.0000       -10.7079
 208009.0000       -28.9803
 208010.0000       -27.5978
 208011.0000       -22.1164
 208012.0000       -26.4840
 208013.0000       -30.6266
 208014.0000       -30.2068
 208015.0000       -38.0735
 208016.0000       -41.0943
 208017.0000       -41.3338
 208018.0000       -44.3053
 208019.0000       -41.3284
 208020.0000       -36.6019
 208021.0000       -48.7836
 208022.0000       -54.1375
 208023.0000       -48.3467
 208024.0000       -43.2953
 208025.0000       -49.4170
 208026.0000       -24.2818
 208027.0000       -22.9686
 208028.0000       -21.3552
 208029.0000       -25.6866
 208030.0000       -25.8898
 208031.0000       -30.1071
 208032.0000       -29.2881
 208033.0000        -6.6628
 208034.0000        -2.1364
 208035.0000        -5.3313
 208036.0000        -2.3677
 208037.0000       -22.0683
 208038.0000         0.7662
 208039.0000        16.2009
 208040.0000       -23.0655
 208041.0000       -11.5671
 208042.0000         6.7739
 208043.0000        52.2404
 208044.0000        19.0391
 208045.0000        57.0915
 208046.0000        33.2491
 208047.0000        26.8216
 208048.0000        32.2391
 208049.0000        23.1202
 208050.0000        29.4965
 208051.0000        25.5567
 208052.0000        28.4995
