GPSS Week    Seconds of Week          X(m)              Y(m)              Z(m)           Clock(m)
2394     207976.000   -5447699.733    6225474.405    3070128.306     523835.015
2394     207977.000   -2267434.395    5009605.732    3220967.546         37.980
2394     207978.000   -2267435.436    5009597.401    3220965.358        118.465
2394     207979.000   -2267435.130    5009596.645    3220963.997         37.173
2394     207980.000   -2267436.341    5009598.209    3220964.720         34.757
2394     207981.000   -2267435.251    5009594.905    3220965.016         33.830
2394     207982.000   -2267434.371    5009595.438    3220964.593         38.111
2394     207983.000   -2267434.218    5009597.426    3220962.749         35.229
2394     207984.000   -2267433.741    5009597.060    3220960.674         37.934
2394     207985.000   -2267434.125    5009597.594    3220959.432        125.537
2394     207986.000   -2267432.411    5009596.445    3220958.924         52.909
2394     207987.000   -2267429.440    5009594.354    3220957.626         53.843
2394     207988.000   -2267429.962    5009594.580    3220958.562         64.165
2394     207989.000   -2267430.504    5009593.864    3220955.500         59.919
2394     207990.000   -2267432.364    5009595.096    3220954.244         53.532
2394     207991.000   -2267433.171    5009596.735    3220954.345         49.935
2394     207992.000   -2267433.069    5009595.752    3220955.071         51.660
2394     207993.000   -2267432.710    5009596.069    3220958.104         56.523
2394     207994.000   -2267432.447    5009594.087    3220958.319         53.967
2394     207995.000   -2267433.997    5009596.081    3220959.440         55.719
2394     207996.000   -2267434.400    5009597.933    3220960.721         53.431
2394     207997.000   -2267435.822    5009597.772    3220959.976         58.938
2394     207998.000   -2267436.778    5009601.042    3220960.917         63.734
2394     207999.000   -2267435.315    5009600.241    3220962.419        139.746
2394     208000.000   -2267434.140    5009598.260    3220963.181         60.710
2394     208001.000   -2267435.143    5009598.515    3220965.475         61.308
2394     208002.000   -2267434.566    5009598.579    3220966.283         64.925
2394     208003.000   -2267432.259    5009597.202    3220966.569         64.477
2394     208004.000   -2267431.827    5009597.615    3220968.070         67.864
2394     208005.000   -2267432.165    5009598.832    3220969.317         64.762
2394     208006.000   -2267434.064    5009602.173    3220969.752         68.542
2394     208007.000   -2267481.297    5009645.359    3220981.314        114.373
2394     208008.000   -2267479.225    5009645.076    3220980.093        194.001
2394     208009.000   -2267461.107    5009632.103    3220952.761         92.392
2394     208010.000   -2267457.140    5009631.170    3220950.921         89.660
2394     208011.000   -2267457.718    5009632.131    3220952.087         94.667
2394     208012.000   -2267455.128    5009630.259    3220949.475         94.767
2394     208013.000   -2267451.715    5009627.248    3220946.077         89.913
2394     208014.000   -2267448.554    5009623.718    3220943.222         82.540
2394     208015.000   -2267445.054    5009621.893    3220941.741         79.668
2394     208016.000   -2267441.272    5009620.559    3220942.306         71.818
2394     208017.000   -2267393.302    5009578.063    3220931.969         27.592
2394     208018.000   -2267390.136    5009576.017    3220931.394         21.516
2394     208019.000   -2267399.269    5009587.210    3220952.142         43.902
2394     208020.000   -2267404.877    5009596.314    3220966.583         62.811
2394     208021.000   -2267395.943    5009586.430    3220945.877         44.432
2394     208022.000   -2267391.739    5009585.218    3220936.251         42.864
2394     208023.000   -2267391.106    5009584.230    3220933.291        118.501
2394     208024.000   -2267389.762    5009584.560    3220932.098         42.031
2394     208025.000   -2267388.598    5009582.859    3220930.656         38.001
2394     208026.000   -2267387.347    5009581.452    3220929.797         37.035
2394     208027.000   -2267385.167    5009580.713    3220928.150         28.053
2394     208028.000   -2267385.421    5009582.974    3220927.860         34.457
2394     208029.000   -2267383.755    5009580.660    3220925.794         22.874
2394     208030.000   -2267383.967    5009584.949    3220925.290         78.801
2394     208031.000   -2267381.042    5009586.013    3220923.221         10.983
2394     208032.000   -2267380.370    5009587.826    3220923.339        -27.836
2394     208033.000   -2267373.674    5009586.687    3220920.022        -19.993
2394     208034.000   -2267372.760    5009589.629    3220920.559        -41.043
2394     208035.000   -2267371.548    5009591.540    3220920.610        -32.658
2394     208036.000   -2267368.644    5009591.225    3220918.611         -4.237
2394     208037.000   -2267365.585    5009589.938    3220915.293         46.133
2394     208038.000   -2267363.258    5009589.648    3220915.210         -6.644
2394     208039.000   -2267362.259    5009588.668    3220915.564        -28.184
2394     208040.000   -2267360.152    5009589.454    3220916.238        -16.385
2394     208041.000   -2267359.258    5009590.224    3220917.618          8.872
2394     208042.000   -2267359.599    5009592.858    3220916.748        -14.209
2394     208043.000   -2267358.619    5009594.903    3220917.697         72.718
2394     208044.000   -2267358.253    5009597.241    3220916.570         -9.980
2394     208045.000   -2267358.297    5009600.034    3220919.359          1.082
2394     208046.000   -2267358.187    5009601.140    3220919.418         -3.242
2394     208047.000   -2267358.359    5009603.466    3220921.527         -5.324
2394     208048.000   -2267357.652    5009607.968    3220923.148         20.736
2394     208049.000   -2267356.555    5009611.767    3220922.302        115.066
2394     208050.000   -2267357.698    5009622.924    3220928.528         28.827
2394     208051.000   -2267357.253    5009628.231    3220929.966         16.758
2394     208052.000   -2267359.113    5009635.071    3220933.464         37.824
2394     208053.000   -2267360.075    5009639.902    3220933.072         21.539
2394     208054.000   -2267358.775    5009643.337    3220934.277         31.823
2394     208055.000   -2267358.334    5009647.350    3220936.009         21.401
2394     208056.000   -2267356.984    5009652.318    3220936.643         98.769
2394     208057.000   -2267356.155    5009653.755    3220937.730         31.508
2394     208058.000   -2267354.660    5009656.368    3220938.877         43.796
2394     208059.000   -2267352.375    5009654.893    3220939.244         37.535
2394     208060.000   -2267349.648    5009654.530    3220938.866         33.635
2394     208061.000   -2267349.834    5009657.304    3220940.152        118.097
2394     208062.000   -2267339.176    5009652.098    3220940.446          6.892
2394     208063.000   -2267347.812    5009659.051    3220938.967          8.193
2394     208064.000   -2267347.079    5009662.056    3220941.155        -48.294
2394     208065.000   -2267344.579    5009661.093    3220938.625        -67.885
2394     208066.000   -2267344.130    5009658.851    3220936.612         22.805
2394     208067.000   -2267344.736    5009659.809    3220933.559        -40.100
2394     208068.000   -2267343.809    5009659.515    3220935.124        -17.877
2394     208069.000   -2267341.673    5009659.214    3220935.391         -2.873
2394     208070.000   -2267340.032    5009659.590    3220934.854         37.150
2394     208071.000   -2267322.134    5009645.963    3220933.673         81.025
2394     208072.000   -2267321.788    5009644.681    3220931.695        -10.124
2394     208073.000   -2267319.450    5009644.318    3220930.269        -13.214
2394     208074.000   -2267317.806    5009642.866    3220929.690        -33.499
2394     208075.000   -2267317.909    5009641.472    3220929.959        -28.604
2394     208076.000   -2267318.307    5009641.264    3220928.508         60.951
2394     208077.000   -2267319.475    5009641.973    3220929.555        -50.857
2394     208078.000   -2267321.342    5009644.407    3220932.509        -38.921
2394     208079.000   -2267320.423    5009642.786    3220930.989        -17.475
2394     208080.000   -2267320.578    5009643.301    3220932.018        -16.637
2394     208081.000   -2267319.799    5009641.085    3220931.913        -34.870
2394     208082.000   -2267319.953    5009642.342    3220931.800         36.345
2394     208083.000   -2267319.317    5009642.514    3220930.550        -34.846
2394     208084.000   -2267319.890    5009643.344    3220930.078        -44.631
2394     208085.000   -2267319.563    5009645.517    3220931.616        -51.534
2394     208086.000   -2267319.176    5009649.763    3220933.836        -64.560
2394     208087.000   -2267318.340    5009650.012    3220934.773         18.324
2394     208088.000   -2267319.071    5009651.254    3220934.884        -52.823
2394     208089.000   -2267319.852    5009651.798    3220934.378        -47.695
2394     208090.000   -2267320.076    5009652.392    3220934.646        -59.273
2394     208091.000   -2267320.187    5009651.960    3220936.466        -48.951
2394     208092.000   -2267320.008    5009651.575    3220935.691         42.401
2394     208093.000   -2267320.557    5009652.224    3220936.722        -44.140
2394     208094.000   -2267320.796    5009652.055    3220938.424        -48.681
2394     208095.000   -2267320.975    5009652.399    3220937.719        -52.486
2394     208096.000   -2267322.891    5009655.663    3220941.492        -45.760
2394     208097.000   -2267323.628    5009660.390    3220943.771        -40.955
2394     208098.000   -2267323.619    5009662.596    3220944.106        -24.170
2394     208099.000   -2267322.743    5009663.277    3220944.072        -32.685
2394     208100.000   -2267322.026    5009664.816    3220944.629        -23.528
2394     208101.000   -2267322.596    5009664.099    3220944.440        -30.319
2394     208102.000   -2267322.833    5009663.249    3220943.355         51.637
2394     208103.000   -2267321.774    5009664.074    3220942.568          5.110
2394     208104.000   -2267322.520    5009665.710    3220944.661        -23.657
2394     208105.000   -2267325.493    5009670.706    3220948.117        -26.951
2394     208106.000   -2267326.623    5009670.680    3220949.411        -17.099
2394     208107.000   -2267327.991    5009670.789    3220949.659         61.922
2394     208108.000   -2267329.707    5009672.858    3220951.704          4.164
2394     208109.000   -2267310.597    5009661.096    3220953.177         -1.542
2394     208110.000   -2267308.648    5009660.749    3220952.359        -12.089
2394     208111.000   -2267307.215    5009660.838    3220951.225         77.231
2394     208112.000   -2267306.786    5009662.100    3220951.093         19.738
2394     208113.000   -2267305.043    5009662.203    3220950.717          7.133
2394     208114.000   -2267304.029    5009660.936    3220950.641        -10.347
2394     208115.000   -2267301.447    5009659.527    3220949.137         31.687
2394     208116.000   -2267300.463    5009659.438    3220946.578         84.392
2394     208117.000   -2267300.365    5009658.371    3220943.720        -21.498
2394     208118.000   -2267301.607    5009656.861    3220942.553        -21.334
2394     208119.000   -2267302.331    5009658.030    3220943.173        -22.307
2394     208120.000   -2267304.304    5009659.311    3220943.980         95.068
2394     208121.000   -2267305.435    5009660.480    3220946.139          6.643
2394     208122.000   -2267307.038    5009662.120    3220947.882         39.361
2394     208123.000   -2267307.356    5009661.310    3220949.174         51.194
2394     208124.000   -2267308.122    5009661.457    3220948.807        119.257
2394     208125.000   -2267308.864    5009663.733    3220950.749         36.234
2394     208126.000   -2267310.011    5009666.258    3220951.950         27.909
2394     208127.000   -2267307.896    5009665.891    3220951.837         27.472
2394     208128.000   -2267307.140    5009667.697    3220953.170         47.244
2394     208129.000   -2267306.435    5009668.926    3220950.324        143.609
2394     208130.000   -2267306.199    5009672.607    3220951.963         73.489
2394     208131.000   -2267282.967    5009659.178    3220960.272         54.415
2394     208132.000   -2267281.409    5009660.076    3220957.276         57.557
2394     208133.000   -2267280.040    5009660.531    3220956.662        129.048
2394     208134.000   -2267279.176    5009662.196    3220957.706         55.683
2394     208142.000   -2267275.241    5009672.235    3220958.919        107.558
2394     208143.000   -2267274.604    5009671.646    3220959.961         80.030
2394     208144.000   -2267274.783    5009669.773    3220958.730         79.434
2394     208145.000   -2267276.470    5009669.449    3220958.678         77.302
2394     208146.000   -2267280.027    5009671.591    3220960.644        155.511
2394     208147.000   -2267282.093    5009673.512    3220964.500         84.879
2394     208148.000   -2267282.136    5009673.177    3220964.479         83.664
2394     208149.000   -2267280.879    5009672.995    3220966.609         79.382
2394     208150.000   -2267280.004    5009675.687    3220967.307        164.721
2394     208151.000   -2267280.335    5009679.988    3220970.539         88.940
2394     208152.000   -2267277.851    5009678.449    3220969.331         87.229
2394     208153.000   -2267276.292    5009678.477    3220969.164         84.251
2394     208154.000   -2267275.552    5009679.281    3220968.463         84.142
2394     208155.000   -2267275.461    5009679.894    3220970.607         89.201
2394     208156.000   -2267275.804    5009681.962    3220970.195        164.846
2394     208157.000   -2267276.136    5009685.602    3220970.740         92.703
2394     208158.000   -2267275.577    5009685.905    3220972.319         94.161
2394     208159.000   -2267277.139    5009688.371    3220975.160         98.437
2394     208160.000   -2267277.134    5009688.632    3220975.767        100.955
2394     208161.000   -2267277.523    5009692.446    3220977.952        179.411
2394     208162.000   -2267277.236    5009693.935    3220980.261        106.902
2394     208163.000   -2267278.979    5009695.760    3220981.348        108.893
2394     208164.000   -2267280.254    5009699.397    3220982.955        113.004
2394     208165.000   -2267282.332    5009700.987    3220983.987        116.166
2394     208166.000   -2267283.393    5009702.277    3220984.803        117.142
2394     208167.000   -2267281.900    5009702.881    3220984.521        117.134
2394     208168.000   -2267281.108    5009702.528    3220984.793        116.825
2394     208169.000   -2267280.369    5009703.249    3220985.141        117.399
2394     208170.000   -2267279.062    5009704.446    3220984.406        118.507
2394     208171.000   -2267277.939    5009704.259    3220982.536        114.615
2394     208172.000   -2267288.653    5009713.042    3221005.441        209.131
2394     208173.000   -2267288.312    5009711.542    3221003.578        133.603
2394     208174.000   -2267289.682    5009713.119    3221004.360        137.144
2394     208175.000   -2267266.862    5009701.404    3221013.492        123.110
2394     208176.000   -2267267.250    5009703.082    3221015.664        126.355
2394     208177.000   -2267266.773    5009705.943    3221016.762        203.906
2394     208178.000   -2267264.662    5009709.406    3221019.356        133.453
2394     208179.000   -2267264.059    5009710.557    3221020.119        130.796
2394     208180.000   -2267262.100    5009712.110    3221021.179        127.943
2394     208181.000   -2267262.653    5009695.015    3221013.506        115.697
2394     208182.000   -2267263.598    5009695.352    3221012.300        193.164
2394     208183.000   -2267263.961    5009695.811    3221011.717        117.178
2394     208184.000   -2267253.466    5009693.134    3221019.219        112.138
2394     208185.000   -2267250.627    5009690.741    3221017.911        107.442
2394     208186.000   -2267249.984    5009690.658    3221018.526        113.560
2394     208187.000   -2267248.547    5009690.963    3221018.726        186.978
2394     208188.000   -2267256.227    5009700.143    3221040.813        127.247
2394     208189.000   -2267239.147    5009690.621    3221015.730         98.618
2394     208190.000   -2267238.405    5009689.805    3221015.730        102.380
2394     208191.000   -2267237.389    5009689.874    3221015.659         98.832
2394     208192.000   -2267239.311    5009693.526    3221016.435        182.383
2394     208193.000   -2267239.208    5009694.155    3221017.563        105.454
2394     208194.000   -2267236.994    5009692.207    3221019.379        100.446
2394     208195.000   -2267239.574    5009694.604    3221025.598        109.971
2394     208196.000   -2267240.207    5009694.892    3221028.219        115.940
2394     208197.000   -2267239.934    5009693.925    3221027.684        188.256
2394     208198.000   -2267238.394    5009692.991    3221027.387        111.627
2394     208199.000   -2267238.441    5009695.055    3221030.779        114.717
2394     208200.000   -2267237.348    5009694.668    3221032.990        112.282
2394     208201.000   -2267235.758    5009693.536    3221033.671        104.109
2394     208202.000   -2267235.694    5009693.683    3221034.283        178.550
2394     208203.000   -2267236.272    5009693.725    3221035.670        102.917
2394     208204.000   -2267235.257    5009694.246    3221037.046        102.800
2394     208205.000   -2267234.584    5009692.897    3221038.516        110.793
2394     208206.000   -2267233.626    5009691.651    3221038.891        111.009
2394     208207.000   -2267234.334    5009693.650    3221040.409        187.385
2394     208208.000   -2267236.036    5009694.471    3221042.537        112.453
2394     208209.000   -2267235.104    5009693.277    3221044.170        109.818
2394     208210.000   -2267235.333    5009692.308    3221044.860        106.631
2394     208211.000   -2267234.525    5009692.183    3221045.136        104.845
2394     208212.000   -2267234.240    5009691.180    3221044.924        186.795
2394     208213.000   -2267234.308    5009692.153    3221045.400        109.784
2394     208214.000   -2267232.657    5009689.729    3221044.071         89.183
2394     208215.000   -2267232.908    5009691.378    3221045.085         89.010
2394     208216.000   -2267232.430    5009692.388    3221044.533         74.252
2394     208217.000   -2267231.696    5009692.802    3221044.828        162.946
2394     208218.000   -2267231.474    5009695.155    3221045.488         99.736
2394     208219.000   -2267229.313    5009694.283    3221045.166         97.563
2394     208220.000   -2267229.607    5009694.917    3221043.260        100.460
2394     208221.000   -2267228.875    5009694.809    3221040.614        103.133
2394     208222.000   -2267225.641    5009689.514    3221038.358        179.204
2394     208223.000   -2267223.773    5009687.650    3221037.514         99.918
2394     208224.000   -2267223.068    5009687.235    3221037.692         98.571
2394     208225.000   -2267223.487    5009688.630    3221037.738         98.334
2394     208226.000   -2267223.570    5009690.866    3221039.557        105.370
2394     208227.000   -2267220.928    5009689.987    3221039.936        180.714
2394     208228.000   -2267219.927    5009689.139    3221040.365        100.288
2394     208229.000   -2267218.352    5009690.392    3221041.977        101.977
2394     208230.000   -2267217.184    5009690.566    3221042.665        101.767
2394     208231.000   -2267217.068    5009691.576    3221042.447         96.323
2394     208232.000   -2267217.346    5009695.679    3221045.783        180.749
2394     208233.000   -2267216.964    5009700.892    3221047.767        107.178
2394     208234.000   -2267216.991    5009704.596    3221050.011        111.242
2394     208235.000   -2267215.868    5009709.448    3221052.051        118.078
2394     208236.000   -2267214.864    5009710.526    3221052.176        116.891
2394     208249.255   -2267303.406    5009827.491    3221139.294     243614.093
2394     208250.254   -2267248.628    5009784.188    3221134.457    -243084.728
2394     208251.254   -2267252.104    5009797.825    3221123.514        203.703
2394     208252.254   -2267252.313    5009798.921    3221138.340        197.218
2394     208253.000   -2267252.389    5009799.613    3221143.044        181.669
2394     208254.000   -2267253.409    5009799.689    3221148.449        205.528
2394     208255.000   -2267255.347    5009801.317    3221154.322        283.055
2394     208256.000   -2267257.507    5009800.278    3221158.869        206.516
2394     208257.000   -2267277.421    5009798.324    3221177.606        224.258
2394     208258.000   -2267264.085    5009792.719    3221170.762        204.364
2394     208259.000   -2267266.042    5009791.733    3221174.325        294.692
2394     208260.000   -2267250.565    5009765.816    3221121.492        176.457
2394     208261.000   -2267252.453    5009766.441    3221126.047        181.786
2394     208262.000   -2267251.173    5009762.878    3221122.710        182.344
2394     208263.000   -2267255.074    5009764.454    3221126.838        191.437
2394     208264.000   -2267257.360    5009766.705    3221130.449        266.551
2394     208265.000   -2267257.058    5009766.935    3221132.757        189.278
2394     208266.000   -2267242.174    5009761.444    3221110.964        173.239
2394     208267.000   -2267242.875    5009763.306    3221112.678        176.626
2394     208268.000   -2267241.661    5009768.777    3221111.928        179.564
2394     208269.000   -2267238.976    5009761.068    3221100.324        241.160
2394     208270.000   -2267240.122    5009760.729    3221100.032        165.540
2394     208271.000   -2267240.724    5009766.324    3221102.158        168.044
2394     208272.000   -2267240.608    5009767.187    3221101.868        169.343
2394     208273.000   -2267239.964    5009766.606    3221101.700        172.367
2394     208274.000   -2267239.013    5009768.806    3221103.679        252.360
2394     208275.000   -2267240.098    5009771.673    3221105.315        175.416
2394     208276.000   -2267240.823    5009771.906    3221107.384        183.328
2394     208277.000   -2267240.588    5009773.043    3221109.217        183.918
