Epoch   E(m)   N(m)   U(m)
1 0.00434117 -0.00127353 0.0467332
2 0.346118 -0.169677 0.141531
3 0.798911 -0.135022 0.787091
4 0.827825 -0.393966 0.725555
5 0.846331 -0.299526 0.657728
6 0.846301 -0.18336 0.448033
7 0.837893 -0.192023 0.381768
8 0.877537 -0.201003 0.233752
9 0.879159 -0.259127 0.29658
10 0.916107 -0.301054 0.506311
11 0.88662 -0.295994 0.492758
12 0.875908 -0.315483 0.578427
13 0.922821 -0.287172 0.548934
14 0.875344 -0.279946 0.579881
15 0.926317 -0.331107 0.701844
16 0.880378 -0.332471 0.68113
17 0.820761 -0.337011 0.74288
18 0.77093 -0.366004 0.742202
19 0.799616 -0.355956 0.775283
20 0.788278 -0.380692 0.765573
21 0.748956 -0.356067 0.721484
22 0.697648 -0.317977 0.673011
23 0.69361 -0.244334 0.615574
24 0.659959 -0.270996 0.617475
25 0.644441 -0.273079 0.673435
26 0.652791 -0.269364 0.711803
27 0.593822 -0.289728 0.741767
28 0.635443 -0.261092 0.740144
29 0.587177 -0.251665 0.771044
30 0.556099 -0.373326 0.714034
31 0.585931 -0.354297 0.68413
32 0.567651 -0.341602 0.665876
33 0.553411 -0.373655 0.66612
34 0.576558 -0.350665 0.678841
35 0.581432 -0.357315 0.658336
36 0.564896 -0.421137 0.666653
37 0.605399 -0.306503 0.782163
38 0.607637 -0.282254 0.772216
39 0.635467 -0.251609 0.748662
40 0.64318 -0.236734 0.79694
41 0.64157 -0.198724 0.818252
42 0.641973 -0.207582 0.797633
43 0.649404 -0.194543 0.821635
44 0.630411 -0.179575 0.815936
45 0.637872 -0.177831 0.819791
46 0.628228 -0.159094 0.837669
47 0.646022 -0.155074 0.830743
48 0.623385 -0.161531 0.833217
49 0.635046 -0.158598 0.8259
50 0.650355 -0.153148 0.837113
51 0.648062 -0.165821 0.82561
52 0.654078 -0.173222 0.829364
53 0.657181 -0.250851 0.677585
54 0.679344 -0.237628 0.653049
55 0.681295 -0.245975 0.641364
56 0.668449 -0.249975 0.692253
57 0.664239 -0.246224 0.695317
58 0.661891 -0.254077 0.711348
59 0.661766 -0.253956 0.726277
60 0.65929 -0.256224 0.73554
61 0.663146 -0.268681 0.770095
62 0.487365 -0.260367 0.451849
63 0.487024 -0.273765 0.468307
64 0.463527 -0.280687 0.493219
65 0.451409 -0.291015 0.506843
66 0.446631 -0.194618 0.723792
67 0.439706 -0.189767 0.753691
68 0.429727 -0.201392 0.777297
69 0.443037 -0.219267 0.758236
70 0.455087 -0.231577 0.779873
71 0.470538 -0.241952 0.761638
72 0.469655 -0.248121 0.784103
73 0.464246 -0.260559 0.823715
74 0.45381 -0.267983 0.813439
75 0.450577 -0.2708 0.8423
76 0.42846 -0.287198 0.853307
77 0.428965 -0.284576 0.842066
78 0.42027 -0.275551 0.832971
79 0.397278 -0.341025 0.726755
80 0.40623 -0.357129 0.722769
81 0.403156 -0.362285 0.738168
82 0.429942 -0.271018 0.853315
83 0.408064 -0.331383 0.759597
84 0.399967 -0.304838 0.813371
85 0.421987 -0.254417 0.845542
86 0.405569 -0.275237 0.841105
87 0.402469 -0.258746 0.856923
88 0.411371 -0.249659 0.861747
89 0.40702 -0.262353 0.872751
90 0.399918 -0.256678 0.872314
91 0.406442 -0.253952 0.903069
92 0.40664 -0.274428 0.887772
93 0.409899 -0.276282 0.888629
94 0.418528 -0.256821 0.935385
95 0.400694 -0.278851 0.917444
96 0.405851 -0.273661 0.932173
97 0.417597 -0.258814 0.956987
98 0.403498 -0.275997 0.949081
99 0.416627 -0.269439 0.943275
100 0.345062 -0.361191 0.855601
101 0.334372 -0.369921 0.834443
102 0.35102 -0.367335 0.844475
103 0.360677 -0.35584 0.852137
104 0.353287 -0.350007 0.845122
105 0.429992 -0.247487 0.985712
106 0.416793 -0.268568 0.962358
107 0.36559 -0.31844 0.886795
108 0.400146 -0.278699 0.934604
109 0.403574 -0.267454 0.949003
110 0.382741 -0.273981 0.9292
111 0.371808 -0.283939 0.94615
112 0.363964 -0.279405 0.954925
113 0.330028 -0.293024 0.923315
114 0.333364 -0.294253 0.945824
115 0.336732 -0.28995 0.964118
116 0.328301 -0.300464 0.944072
117 0.329608 -0.299978 0.939145
118 0.323486 -0.304307 0.942219
119 0.30176 -0.324094 0.94721
120 0.309767 -0.315813 0.953407
121 0.30341 -0.315456 0.935911
122 0.309474 -0.298522 0.931481
123 0.289413 -0.357887 0.830538
124 0.278445 -0.357554 0.84523
125 0.259296 -0.404484 0.759238
126 0.283384 -0.338803 0.889006
127 0.277466 -0.34671 0.851075
128 0.290672 -0.263233 0.989178
129 0.285996 -0.245842 1.01486
130 0.280493 -0.273265 0.979459
131 0.262076 -0.322314 0.887682
132 0.268572 -0.307741 0.924555
133 0.292812 -0.240342 1.05106
134 0.302325 -0.225581 1.06859
135 0.326293 -0.192096 1.10892
136 0.290507 -0.284973 0.945363
137 0.316774 -0.232493 1.05182
