Epoch GPSWeek GPSSeconds E N U
1 2170 172800.000 -3.996946e+64 -5.261372e+64 6.333948e+64
2 2170 172830.000 -3.996946e+64 -5.261372e+64 6.333948e+64
3 2170 172860.000 -3.996946e+64 -5.261372e+64 6.333948e+64
4 2170 172890.000 -3.996946e+64 -5.261372e+64 6.333948e+64
5 2170 172920.000 -3.996946e+64 -5.261372e+64 6.333948e+64
6 2170 172950.000 -3.996946e+64 -5.261372e+64 6.333948e+64
7 2170 172980.000 -3.996946e+64 -5.261372e+64 6.333948e+64
8 2170 173010.000 -3.996946e+64 -5.261372e+64 6.333948e+64
9 2170 173040.000 -3.996946e+64 -5.261372e+64 6.333948e+64
10 2170 173070.000 -3.996946e+64 -5.261372e+64 6.333948e+64
11 2170 173100.000 -3.996946e+64 -5.261372e+64 6.333948e+64
12 2170 173130.000 -3.996946e+64 -5.261372e+64 6.333948e+64
13 2170 173160.000 -3.996946e+64 -5.261372e+64 6.333948e+64
14 2170 173190.000 -3.996946e+64 -5.261372e+64 6.333948e+64
15 2170 173220.000 -3.996946e+64 -5.261372e+64 6.333948e+64
16 2170 173250.000 -3.996946e+64 -5.261372e+64 6.333948e+64
17 2170 173280.000 -3.996946e+64 -5.261372e+64 6.333948e+64
18 2170 173310.000 -3.996946e+64 -5.261372e+64 6.333948e+64
19 2170 173340.000 -3.996946e+64 -5.261372e+64 6.333948e+64
20 2170 173370.000 -3.996946e+64 -5.261372e+64 6.333948e+64
21 2170 173400.000 -3.996946e+64 -5.261372e+64 6.333948e+64
22 2170 173430.000 -3.996946e+64 -5.261372e+64 6.333948e+64
23 2170 173460.000 -3.996946e+64 -5.261372e+64 6.333948e+64
24 2170 173490.000 -3.996946e+64 -5.261372e+64 6.333948e+64
25 2170 173520.000 -3.996946e+64 -5.261372e+64 6.333948e+64
26 2170 173550.000 -3.996946e+64 -5.261372e+64 6.333948e+64
27 2170 173580.000 -3.996946e+64 -5.261372e+64 6.333948e+64
28 2170 173610.000 -3.996946e+64 -5.261372e+64 6.333948e+64
29 2170 173640.000 -3.996946e+64 -5.261372e+64 6.333948e+64
30 2170 173670.000 -3.996946e+64 -5.261372e+64 6.333948e+64
31 2170 173700.000 -3.996946e+64 -5.261372e+64 6.333948e+64
32 2170 173730.000 -3.996946e+64 -5.261372e+64 6.333948e+64
33 2170 173760.000 -3.996946e+64 -5.261372e+64 6.333948e+64
34 2170 173790.000 -3.996946e+64 -5.261372e+64 6.333948e+64
35 2170 173820.000 -3.996946e+64 -5.261372e+64 6.333948e+64
36 2170 173850.000 -3.996946e+64 -5.261372e+64 6.333948e+64
37 2170 173880.000 -3.996946e+64 -5.261372e+64 6.333948e+64
38 2170 173910.000 -3.996946e+64 -5.261372e+64 6.333948e+64
39 2170 173940.000 -3.996946e+64 -5.261372e+64 6.333948e+64
40 2170 173970.000 -3.996946e+64 -5.261372e+64 6.333948e+64
41 2170 174000.000 -3.996946e+64 -5.261372e+64 6.333948e+64
